Unnamed: 0,company_name,company_rating,industry,size,type,years_old,location
0,Zydus Lifesciences,4.2,Pharma,10k-50k Employees,Public,72,Ahmedabad
1,Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,47,Ahmedabad
2,Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Ahmedabad
3,TTEC India,3.8,BPO,1k-5k Employees,Public,40,Ahmedabad
4,Cadila Pharmaceuticals,3.6,Pharma,5k-10k Employees,Public,73,Ahmedabad
5,Torrent Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,53,Ahmedabad
6,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Ahmedabad
7,S&P Global,4.2,Analytics & KPO,10k-50k Employees,Public,164,Ahmedabad
8,Arvind Group,4.1,Fashion & Textile,10k-50k Employees,Public,93,Ahmedabad
9,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Ahmedabad
10,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Ahmedabad
11,Torrent Power,3.8,Power,5k-10k Employees,Public,28,Ahmedabad
12,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Ahmedabad
13,Kotak Mahindra Bank,3.9,Banking,50k-1 Lakh Employees,Public,21,Ahmedabad
14,Adani Group,4.0,Power,10k-50k Employees,Public,36,Ahmedabad
15,JBM Group,4.0,Auto Components,1k-5k Employees,Public,41,Ahmedabad
16,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Ahmedabad
17,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Ahmedabad
18,Shalby Hospitals,4.6,Healthcare,1k-5k Employees,Public,30,Ahmedabad
19,Otsuka Pharmaceutical India Private Limited,4.2,Pharma,501-1k Employees,Forbes Global 2000,8,Ahmedabad
20,Tata Motors,4.2,Automobile,10k-50k Employees,Public,79,Ahmedabad
21,Electrotherm,4.2,Iron & Steel,1k-5k Employees,Public,41,Ahmedabad
22,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Ahmedabad
23,Ford Motor,4.5,Automobile,5k-10k Employees,Public,121,Ahmedabad
24,Eris Lifesciences,3.8,Pharma,1k-5k Employees,Public,17,Ahmedabad
25,Adani Wilmar,4.2,FMCG,1k-5k Employees,Public,25,Ahmedabad
26,Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29,Indore
27,Baxter International,4.1,Healthcare,1k-5k Employees,Forbes Global 2000,93,Ahmedabad
28,Reliance Industries,4.1,Oil & Gas,1 Lakh+ Employees,Public,47,Indore
29,Adani Green Energy,4.2,Power,1k-5k Employees,Fortune India 500,9,Indore
30,Adani Power,3.9,Power,1k-5k Employees,Public,18,Mundra
31,Mastek,3.7,IT Services & Consulting,1k-5k Employees,Public,42,Ahmedabad
32,BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13,Indore
33,IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30,Indore
34,IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6,Indore
35,Nirma,4.3,FMCG,10k-50k Employees,Fortune India 500,34,Ahmedabad
36,LendingKart,3.2,NBFC,1k-5k Employees,Public,10,Ahmedabad
37,MAS Financial Services,3.7,Financial Services,1k-5k Employees,Public,29,Ahmedabad
38,QX Global Group,3.4,IT Services & Consulting,1k-5k Employees,Public,21,Ahmedabad
39,Vadilal Industries,4.1,FMCG,501-1k Employees,Public,117,Ahmedabad
40,Sterlite Technologies,3.8,Hardware & Networking,1k-5k Employees,Public,36,Ahmedabad
41,Cliantha Research,4.0,Clinical Research,501-1k Employees,Public,20,Ahmedabad
42,Zydus Hospital,4.3,Healthcare,1k-5k Employees,Public,9,Ahmedabad
43,Yes Bank,3.9,Banking,10k-50k Employees,Public,20,Ahmedabad
44,Gtpl Hathway,4.1,Broadcasting,501-1k Employees,Public,18,Ahmedabad
45,Zydus Wellness,3.9,FMCG,501-1k Employees,Public,36,Ahmedabad
46,Adani Ports and SEZ,3.9,Ports & Shipping,1k-5k Employees,Public,26,Ahmedabad
47,AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28,Ahmedabad
48,Vestas,4.3,Power,1k-5k Employees,Forbes Global 2000,27,Ahmedabad
49,Jindal Worldwide,3.5,Fashion & Textile,1k-5k Employees,Public,38,Ahmedabad
50,CARS24,3.7,Internet,5k-10k Employees,Indian Unicorn,9,Ahmedabad
51,DMart,4.0,Retail,10k-50k Employees,Fortune India 500,22,Ahmedabad
52,Subros,4.0,Auto Components,1k-5k Employees,Public,39,Ahmedabad
53,Claris Lifesciences Ahmedabad,3.1,Healthcare,1k-5k Employees,Public,25,Ahmedabad
54,Lincoln Pharmaceuticals,3.8,Pharma,1k-5k Employees,Public,45,Ahmedabad
55,JustDial,3.6,Internet,10k-50k Employees,Public,28,Ahmedabad
56,L&T Construction,4.1,Engineering & Construction,5k-10k Employees,Public,80,Ahmedabad
57,Viatris,4.2,Pharma,10k-50k Employees,Forbes Global 2000,4,Ahmedabad
58,Concord Biotech,3.7,Pharma,501-1k Employees,Public,24,Ahmedabad
59,Sanghi Industries,3.7,Building Material,501-1k Employees,Public,39,Ahmedabad
60,Piramal Pharma,4.0,Pharma,1k-5k Employees,Public,36,Ahmedabad
61,Health Care Global Enterprises,4.2,Healthcare,5k-10k Employees,Public,35,Ahmedabad
62,Sadbhav Engineering,4.4,Engineering & Construction,1k-5k Employees,Public,36,Ahmedabad
63,Startek,3.3,BPO,10k-50k Employees,Public,7,Ahmedabad
64,Jana Small Finance Bank,3.9,Banking,10k-50k Employees,Public,18,Ahmedabad
65,Aia Engineering,4.2,Industrial Machinery,1k-5k Employees,Public,45,Ahmedabad
66,Emcure Pharmaceuticals,3.8,Pharma,5k-10k Employees,Fortune India 500,43,Ahmedabad
67,Monte Carlo,4.2,Fashion & Textile,201-500 Employees,Public,40,Ahmedabad
68,Asian Granito India,3.8,Building Material,1k-5k Employees,Public,24,Ahmedabad
69,Kogta Financial India Limited,4.8,NBFC,1k-5k Employees,Public,28,Ahmedabad
70,ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,24,Ahmedabad
71,Chiripal Industries,3.6,Fashion & Textile,1k-5k Employees,Public,52,Ahmedabad
72,IIFL Finance,4.0,NBFC,10k-50k Employees,Public,29,Ahmedabad
73,Apollo Hospitals,4.2,Healthcare,10k-50k Employees,Public,41,Ahmedabad
74,Piramal Group,4.0,Financial Services,10k-50k Employees,Fortune India 500,44,Ahmedabad
75,Sodexo,4.1,Facility Management Services,10k-50k Employees,Forbes Global 2000,16,Ahmedabad
76,Abellon Clean Energy,3.7,Other,501-1k Employees,Public,16,Ahmedabad
